Date|Book|Security|DayPnL|YTDPnL|MTDPnL|WTDPnL
20190417|FTRUS|EXPI US|858.67|-149.13499999999|-149.13499999999|-149.13499999999
20190417|FTRUS|EYPT US|-1716.12|-5797.7|-5797.7|-5797.7
20190417|FTRUS|FCAP US|-103.53|-106.12|-106.12|-106.12
20190417|FTRUS|FNCB US|171.4|-43.565000000005|-43.565000000005|-43.565000000005
20190417|FTRUS|GEOS US|380.700000000001|3528.0918|3528.0918|3528.0918
20190417|FTRUS|GIFI US|0|-1337.54|-1337.54|-1337.54
20190417|FTRUS|GSIT US|258.85|168.179999999997|168.179999999997|168.179999999997
20190417|FTRUS|GWGH US|-263.200000000001|-2071.33|-2071.33|-2071.33
20190417|FTRUS|HFBC US|-71.5000000000003|-102.674999999998|-102.674999999998|-102.674999999998
20190417|FTRUS|HIL US|-63.4199999999987|305.730000000003|305.730000000003|305.730000000003
20190417|FTRUS|HWBK US|-139.4|-492.502999999997|-492.502999999997|-492.502999999997
20190417|FTRUS|IDEX US|658.530000000001|-4068.48450000001|-4068.48450000001|-4068.48450000001
20190417|FTRUS|IDT US|-400.303200000003|686.006800000007|686.006800000007|686.006800000007
20190417|FTRUS|IMXI US|386.890000000002|708.745000000032|708.745000000032|708.745000000032
20190417|FTRUS|INS US|-43.5399999999913|-3273.71209999998|-3273.71209999998|-3273.71209999998
20190417|FTRUS|INSE US|-45.0900000000004|31.3499999999996|31.3499999999996|31.3499999999996
20190417|FTRUS|IVAC US|0|-3660.8|-3660.8|-3660.8
20190417|FTRUS|IWM US|0|-28163.1800000005|-28163.1800000005|-28163.1800000005
20190417|FTRUS|JYNT US|-1908|3222.834|3222.834|3222.834
20190417|FTRUS|KLDO US|2457.18|3211.487|3211.487|3211.487
20190417|FTRUS|LEE US|-581.900000000002|-2634.5375|-2634.5375|-2634.5375
20190417|FTRUS|LFVN US|-1346.84|-7337.955|-7337.955|-7337.955
20190417|FTRUS|MFIN US|-147.599999999997|118.872|118.872|118.872
20190417|FTRUS|MFNC US|0|345.809999999999|345.809999999999|345.809999999999
20190417|FTRUS|MLND US|-279.72|-3827.73|-3827.73|-3827.73
20190417|FTRUS|MMAC US|121.107000000001|-1952.397|-1952.397|-1952.397
20190417|FTRUS|MSON US|-976.98|-2847.37859999999|-2847.37859999999|-2847.37859999999
20190417|FTRUS|NBEV US|-388.680000000003|6879.14099999999|6879.14099999999|6879.14099999999
20190417|FTRUS|OCX US|-2481.7833|-5208.15330000003|-5208.15330000003|-5208.15330000003
20190417|FTRUS|OPRX US|0|531.914400000008|531.914400000008|531.914400000008
20190417|FTRUS|ORGO US|-298.800000000004|-64.479999999994|-64.479999999994|-64.479999999994
20190417|FTRUS|OSIR US|0|2.00000000000138|2.00000000000138|2.00000000000138
20190417|FTRUS|PANL US|-18.6199999999999|-45.8230999999998|-45.8230999999998|-45.8230999999998
20190417|FTRUS|PED US|-168.5|119.295500000001|119.295500000001|119.295500000001
20190417|FTRUS|PHAS US|-5893.3032|7049.9248|7049.9248|7049.9248
20190417|FTRUS|PROV US|489.849999999999|-498.354999999998|-498.354999999998|-498.354999999998
20190417|FTRUS|PTGX US|-566.214999999998|-5119.54000000001|-5119.54000000001|-5119.54000000001
20190417|FTRUS|PXLW US|-1640.08|4643.27999999999|4643.27999999999|4643.27999999999
20190417|FTRUS|RBKB US|-116.6|-724.619999999991|-724.619999999991|-724.619999999991
20190417|FTRUS|RUBI US|1564.50000000001|287.44749999997|287.44749999997|287.44749999997
20190417|FTRUS|SCOR US|-416.475000000006|-3966.16000000001|-3966.16000000001|-3966.16000000001
20190417|FTRUS|SDI US|0|-65.606|-65.606|-65.606
20190417|FTRUS|SDRL US|-2428.02|6828.84|6828.84|6828.84
20190417|FTRUS|SHSP US|261.239999999994|4361.60279999998|4361.60279999998|4361.60279999998
20190417|FTRUS|SNCR US|608.080000000001|-2239.91920000002|-2239.91920000002|-2239.91920000002
20190417|FTRUS|SRT US|147.08|-2251.4923|-2251.4923|-2251.4923
20190417|FTRUS|STKL US|-1160.46|-9604.65500000001|-9604.65500000001|-9604.65500000001
20190417|FTRUS|SWAV US|-245.350000000001|-7572.83500000001|-7572.83500000001|-7572.83500000001
20190417|FTRUS|TCRR US|-1324.68000000001|4903.38|4903.38|4903.38
20190417|FTRUS|TESS US|403.6516|6690.396|6690.396|6690.396
20190417|FTRUS|TEUM US|3750.80880000001|-13398.7632|-13398.7632|-13398.7632
20190417|FTRUS|TRCB US|0|128.9888|128.9888|128.9888
20190417|FTRUS|TRNS US|519.749999999997|2042.145|2042.145|2042.145
20190417|FTRUS|TRVN US|0|-1557.711|-1557.711|-1557.711
20190417|FTRUS|ULBI US|202.393599999999|2951.8836|2951.8836|2951.8836
20190417|FTRUS|UROV US|-2250|-10772.15|-10772.15|-10772.15
20190417|FTRUS|USWS US|-1372.8|-4617.71|-4617.71|-4617.71
20190417|FTRUS|VNCE US|0|-1001.45|-1001.45|-1001.45
20190417|FTRUS|VSI US|705.149999999997|-2566.995|-2566.995|-2566.995
20190417|FTRUS|WRTC US|1198.6|1530.13|1530.13|1530.13
20190417|FTRUS|WTRH US|1782.77|-6974.93999999998|-6974.93999999998|-6974.93999999998
20190417|FTRUS|XBI US|34959.9999999999|9631.1900000002|9631.1900000002|9631.1900000002
20190417|FTRUS|XONE US|0|-1551.40779999997|-1551.40779999997|-1551.40779999997
20190417|FTRUS|YGYI US|-1765.66|-3175.64500000001|-3175.64500000001|-3175.64500000001
20190417|FTRUS|RTYM9|24839.9999999998|-28419.9999999993|-28419.9999999993|-28419.9999999993
20190417|FTRUS|XES US|1299.00000000005|-9033.94999999995|-9033.94999999995|-9033.94999999995
20190417|FTRUS|XES UP|0|-19638.0000000001|-19638.0000000001|-19638.0000000001
20190417|FTRUS|IGV US|0|-35.7400004940431|-35.7400004940431|-35.7400004940431
20190417|FTRUS|IWO UP|0|5800.00000000013|5800.00000000013|5800.00000000013
20190417|FTRUS|IWO US|15962|3561.6799999998|3561.6799999998|3561.6799999998
20190417|FTRUS|MTUM US|0|-1672.9999999999|-1672.9999999999|-1672.9999999999
20190417|FTRUS|ESM9|2900|-4112.5|-4112.5|-4112.5
20190417|FTRUS|VGT UP|0|-3279.99999999997|-3279.99999999997|-3279.99999999997
20190417|FTRUS|VGT US|-2900.00000000009|-13339.9999999999|-13339.9999999999|-13339.9999999999
20190417|FTRUS|ZVO US|-1226.36|-2506.03999999999|-2506.03999999999|-2506.03999999999
20190417|FTRUS|XOP US|-349.999999999966|-4362.69999999997|-4362.69999999997|-4362.69999999997
20190417|FTRUS|GSRPEMUL|5990.05560000001|5990.05560000001|5990.05560000001|5990.05560000001
20190417|FTRUS|GSRPEMUS|-4652.33580000005|-4652.33580000005|-4652.33580000005|-4652.33580000005
20190417|MSEME|ARGT US|112|517.999999999999|517.999999999999|517.999999999999
20190417|MSSAR|MSAU LN|34649.9999999998|237708.727537051|237708.727537051|237708.727537051
20190417|MSSAR|EEM US|0|-10699.0499999998|-10699.0499999998|-10699.0499999998
20190417|MSSAR|VWO US|-1499.99999999999|-4908.50000000003|-4908.50000000003|-4908.50000000003
20190417|MSSAR|ESM9|4350|-8387.5|-8387.5|-8387.5
20190417|MSSAR|MSAU US|0|0|0|0
20190417|MSSAR|MESM9|-9799.99999999984|-25530.0000000004|-25530.0000000004|-25530.0000000004
